Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Scores
2025-05-11 14:49:59,8,4,0.6875,0.0,0.006456504031433594,"['neutral', 'highly_like', 'highly_like', 'highly_dislike', 'highly_like', 'like', 'like', 'like']"
2025-05-11 14:49:59,7,8,0.6875,0.0,0.0060278861601911595,"['dislike', 'like', 'like', 'highly_dislike', 'like', 'like', 'dislike', 'like']"
2025-05-11 14:49:59,7,10,0.6875,0.0,0.009707065853667176,"['neutral', 'highly_like', 'neutral', 'neutral', 'neutral', 'highly_dislike', 'highly_like', 'highly_dislike']"
2025-05-11 14:49:59,8,12,0.6875,0.0,0.0015116906868285589,"['dislike', 'dislike', 'highly_dislike', 'highly_dislike', 'highly_like', 'highly_dislike', 'highly_like', 'neutral']"
2025-05-11 14:49:59,8,15,0.6875,0.0,0.005982377857365366,"['highly_like', 'like', 'neutral', 'highly_like', 'like', 'highly_dislike', 'neutral', 'highly_dislike']"
2025-05-11 14:49:59,8,18,0.6875,0.0,0.0006849427697581242,"['highly_dislike', 'highly_like', 'highly_dislike', 'highly_dislike', 'dislike', 'neutral', 'highly_dislike', 'dislike']"
2025-05-11 14:49:59,7,21,0.6875,0.0,0.0026446740921083753,"['like', 'highly_dislike', 'dislike', 'neutral', 'like', 'highly_dislike', 'highly_like', 'neutral']"
2025-05-11 14:49:59,7,24,0.6875,0.0,0.0026177170377297185,"['like', 'neutral', 'highly_like', 'highly_dislike', 'like', 'highly_like', 'highly_like', 'like']"
2025-05-11 14:49:59,7,27,0.6875,0.0,0.002674934188926815,"['dislike', 'dislike', 'neutral', 'highly_like', 'highly_like', 'like', 'dislike', 'like']"
2025-05-11 14:49:59,7,29,0.6875,0.0,0.003082765147189849,"['like', 'dislike', 'highly_like', 'dislike', 'dislike', 'highly_dislike', 'highly_dislike', 'dislike']"
2025-05-11 14:49:59,7,33,0.6875,0.0,0.0013800066850265373,"['neutral', 'like', 'highly_like', 'neutral', 'dislike', 'like', 'highly_dislike', 'highly_like']"
