Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Scores
2025-05-11 14:49:56,8,3,0.7,0.0,0.028218188281952074,"['dislike', 'like', 'like', 'neutral', 'highly_like', 'like', 'highly_like', 'dislike']"
2025-05-11 14:49:56,7,7,0.6499999999999999,0.0,0.011314900173416386,"['like', 'highly_dislike', 'highly_dislike', 'neutral', 'dislike', 'dislike', 'neutral', 'highly_like']"
2025-05-11 14:49:56,8,9,0.6999999999999998,0.0,0.0034747672846272845,"['like', 'dislike', 'neutral', 'highly_like', 'dislike', 'highly_dislike', 'highly_dislike', 'like']"
2025-05-11 14:49:56,8,13,0.6999999999999998,0.0,0.0032909729070947666,"['dislike', 'highly_like', 'highly_dislike', 'like', 'like', 'highly_dislike', 'neutral', 'like']"
2025-05-11 14:49:56,7,17,0.6999999999999998,0.0,0.004480394583612861,"['like', 'neutral', 'highly_like', 'highly_dislike', 'highly_like', 'highly_dislike', 'like', 'highly_like']"
2025-05-11 14:49:56,7,20,0.6999999999999998,0.0,0.0021595897125300375,"['dislike', 'like', 'like', 'neutral', 'highly_like', 'dislike', 'dislike', 'highly_dislike']"
2025-05-11 14:49:56,6,22,0.6999999999999998,0.0,0.00311949338929873,"['dislike', 'like', 'like', 'dislike', 'dislike', 'highly_dislike', 'like', 'neutral']"
2025-05-11 14:49:56,8,25,0.7,0.0,0.0017409763429818972,"['highly_dislike', 'highly_dislike', 'dislike', 'dislike', 'like', 'highly_dislike', 'like', 'highly_dislike']"
2025-05-11 14:49:56,6,28,0.7,0.0,0.0023260156556424235,"['highly_dislike', 'like', 'highly_like', 'dislike', 'highly_like', 'neutral', 'like', 'highly_dislike']"
2025-05-11 14:49:56,6,30,0.7,0.0,0.001571532100741252,"['highly_like', 'neutral', 'neutral', 'highly_like', 'highly_dislike', 'highly_dislike', 'highly_dislike', 'highly_like']"
2025-05-11 14:49:56,8,34,0.6799999999999999,0.0,0.0012235627195368772,"['highly_like', 'like', 'highly_like', 'highly_like', 'highly_dislike', 'dislike', 'neutral', 'like']"
2025-05-11 14:49:56,8,38,0.6799999999999999,0.0,0.0023740570761427602,"['highly_like', 'neutral', 'highly_dislike', 'highly_like', 'highly_dislike', 'highly_dislike', 'neutral', 'dislike']"
2025-05-11 14:49:56,8,42,0.6666666666666666,0.0,0.001227845401702914,"['neutral', 'neutral', 'highly_like', 'like', 'like', 'neutral', 'highly_like', 'highly_like']"
